"Sample ID"	Current_Natural_Log_Ratio	time_point	time_point
CD16_T1_B3	-4.508945916712259	1	1
CD16_T2_B3	-5.131085572044037	2	2
CD16_T3_B3	-5.349648172987548	3	3
CD17_T1_B7	-2.4104801557228663	1	1
CD17_T3_B7	-0.23884293706501403	3	3
CD17_T4_B7	-5.877239039713788	4	4
CD1_T1_B1	-0.6975603388272198	1	1
CD1_T2_B1	-1.3677889348821077	2	2
CD27_T1_B7	-3.6216093386964054	1	1
CD27_T2_B7	-4.317082645722769	2	2
CD27_T3_B7	-5.251424454850188	3	3
CD28_T1_B7	-2.2512663398442045	1	1
CD28_T2_B7	-3.014218110377869	2	2
CD28_T4_B7	-5.183785946923353	4	4
CD35_T1_B7	-4.154442426278898	1	1
CD35_T2_B7	-1.9597281590057545	2	2
CD35_T3_B7	-0.17516731557971443	3	3
CD35_T4_B7	-4.270026565396222	4	4
CD38_T1_B7	-3.832069657755037	1	1
CD38_T2_B7	-6.030323874540335	2	2
CD38_T4_B7	-1.029300376762265	4	4
CD38_T5_B7	-1.122278406554443	5	5
CD5_T1_B2	2.4634850702246798	1	1
CD5_T2_B6	-1.2605024062540213	2	2
CD5_T3_B6	-5.163690337014647	3	3
IBS2_T1_B1	-0.6254514900414829	1	1
IBS2_T2_B1	-0.7094584860301545	2	2
IBS2_T3_B1	-4.895324537880184	3	3
IBS2_T5_B2	-5.563579815483076	5	5
IBS6_T1_B2	-3.4035197508079538	1	1
IBS6_T2_B2	-3.289521642771006	2	2
IBS6_T3_B2	-3.032882990936944	3	3
IBS6_T4_B2	-3.2843725591501247	4	4
IBS9_T1_B2	0.9784686522091164	1	1
IBS9_T2_B2	-0.8066255581316888	2	2
IBS9_T3_B2	-2.241102167066689	3	3
UC15_T1_B3	0.5335857293524073	1	1
UC15_T2_B3	-0.9262333894773604	2	2
UC15_T3_B3	-0.5989153454730456	3	3
UC15_T4_B3	-3.471864514639419	4	4
UC15_T5_B5	-1.898299231226769	5	5
UC22_T1_B6	-4.023322594391081	1	1
UC22_T2_B6	-4.3964827732694305	2	2
UC22_T3_B6	-5.22013092257825	3	3
UC22_T4_B6	-4.159421831390115	4	4
UC22_T5_B6	-4.726789286358214	5	5
UC33_T1_B7	-1.432750000954413	1	1
UC33_T2_B7	-4.163827300140198	2	2
UC33_T3_B7	-2.7657548453333733	3	3
UC33_T4_B7	-4.645751797597269	4	4
UC36_T1_B7	-2.9921809655364484	1	1
UC36_T2_B7	-3.913329551404364	2	2
UC36_T3_B7	-3.8794016765970962	3	3
UC36_T4_B7	-4.73775708863123	4	4
UC3_T1_B1	-0.03448101311836993	1	1
UC3_T3_B4	-4.2623454914276495	3	3
UC3_T5_B5	-4.18857999839869	5	5
UC7_T1_B2	3.578745065521411	1	1
UC7_T2_B2	1.4172919950090526	2	2
UC7_T3_B2	2.957639345141117	3	3
UC8_T1_B2	-4.431358226410922	1	1
UC8_T2_B2	-4.305877036125234	2	2
UC8_T3_B4	-4.78890489475176	3	3
