"Sample ID"	Current_Natural_Log_Ratio	time_point	time_point
UC15_T1_B3	1.927985564665231	1	1
UC15_T2_B3	4.511587199294495	2	2
UC15_T3_B3	4.1578025940455134	3	3
UC15_T4_B3	4.539904615698542	4	4
UC15_T5_B5	7.543881470542967	5	5
UC22_T1_B6	-1.2675001298034831	1	1
UC22_T2_B6	4.825240230666322	2	2
UC22_T3_B6	3.2205048736613278	3	3
UC22_T4_B6	5.4351530222289846	4	4
UC22_T5_B6	5.501002612343705	5	5
UC3_T1_B1	4.147605749223101	1	1
UC3_T3_B4	7.410132082441121	3	3
UC3_T5_B5	8.127825213907077	5	5
UC33_T1_B7	2.9348125638151132	1	1
UC33_T2_B7	0	2	2
UC33_T3_B7	9.14636377988343	3	3
UC33_T4_B7	8.395134451864902	4	4
UC36_T1_B7	2.0804667766681435	1	1
UC36_T2_B7	3.1561480366040873	2	2
UC36_T3_B7	4.798061848155642	3	3
UC36_T4_B7	5.450691356851388	4	4
UC8_T1_B2	0.9520348088926351	1	1
UC8_T2_B2	1.0893284142508977	2	2
UC8_T3_B4	4.80545456510515	3	3
